OBJECTID,Od,Aleket,Commends,X,Y
425,1395.000000000000000,1.000000000000000, ,236120.219999999740000,720731.880000000820000
426,1396.000000000000000,0.000000000000000, ,236109.339999999850000,720731.839999999850000
427,1397.000000000000000,0.000000000000000, ,236099.330000000070000,720731.619999999180000
428,1398.000000000000000,0.000000000000000,Include water lines,236087.959999999960000,720731.410000000150000
429,1399.000000000000000,0.000000000000000, ,236077.410000000150000,720731.410000000150000
430,1400.000000000000000,1.000000000000000, ,236066.250000000000000,720731.330000000070000
431,1401.000000000000000,1.000000000000000, ,236054.190000000410000,720731.140000000600000
432,1402.000000000000000,1.000000000000000, ,236042.530000000260000,720731.259999999780000
433,1403.000000000000000,1.000000000000000, ,236032.190000000410000,720731.369999999180000
434,1404.000000000000000,1.000000000000000, ,236021.629999999890000,720731.369999999180000
435,1405.000000000000000,1.000000000000000, ,236010.139999999660000,720731.429999999700000
436,1406.000000000000000,1.000000000000000, ,235999.330000000070000,720731.720000000670000
437,1407.000000000000000,1.000000000000000, ,235986.839999999850000,720731.460000000890000
438,1408.000000000000000,1.000000000000000, ,235975.650000000370000,720731.769999999550000
439,1409.000000000000000,1.000000000000000, ,235963.990000000220000,720731.769999999550000
440,1410.000000000000000,1.000000000000000, ,235953.209999999960000,720731.550000000750000
441,1411.000000000000000,1.000000000000000, ,235942.980000000450000,720731.769999999550000
442,1412.000000000000000,1.000000000000000, ,235933.169999999930000,720731.779999999330000
443,1413.000000000000000,1.000000000000000, ,235922.839999999850000,720705.490000000220000
444,1414.000000000000000,1.000000000000000, ,235934.389999999660000,720705.380000000820000
445,1415.000000000000000,0.000000000000000, ,235947.370000000110000,720704.929999999700000
446,1416.000000000000000,1.000000000000000, ,235957.950000000190000,720704.929999999700000
447,1417.000000000000000,1.000000000000000, ,235967.849999999630000,720704.929999999700000
448,1418.000000000000000,1.000000000000000, ,235978.169999999930000,720704.789999999110000
449,1419.000000000000000,1.000000000000000, ,235987.410000000150000,720705.009999999780000
450,1420.000000000000000,1.000000000000000, ,236000.299999999810000,720704.750000000000000
451,1421.000000000000000,1.000000000000000, ,236011.839999999850000,720704.890000000600000
452,1422.000000000000000,1.000000000000000, ,236023.030000000260000,720704.750000000000000
453,1423.000000000000000,1.000000000000000, ,236034.349999999630000,720704.820000000300000
454,1424.000000000000000,1.000000000000000, ,236047.309999999590000,720704.480000000450000
455,1425.000000000000000,1.000000000000000, ,236060.070000000300000,720704.589999999850000
456,1426.000000000000000,1.000000000000000, ,236071.290000000040000,720704.589999999850000
457,1427.000000000000000,1.000000000000000, ,236081.299999999810000,720704.699999999250000
458,1428.000000000000000,1.000000000000000, ,236093.040000000040000,720704.580000000070000
459,1429.000000000000000,1.000000000000000, ,236103.610000000340000,720704.820000000300000
460,1430.000000000000000,1.000000000000000, ,236113.360000000340000,720704.919999999930000
461,1431.000000000000000,1.000000000000000, ,236124.500000000000000,720705.070000000300000
462,1432.000000000000000,1.000000000000000, ,236135.169999999930000,720705.289999999110000
463,1433.000000000000000,1.000000000000000, ,236146.540000000040000,720705.349999999630000
464,1434.000000000000000,1.000000000000000, ,236158.330000000070000,720705.089999999850000
465,1435.000000000000000,1.000000000000000, ,236168.940000000410000,720705.009999999780000
466,1436.000000000000000,1.000000000000000, ,236181.330000000070000,720705.119999999180000
467,1437.000000000000000,1.000000000000000, ,236192.990000000220000,720705.130000000820000
468,1438.000000000000000,1.000000000000000, ,236203.549999999810000,720704.910000000150000
469,1439.000000000000000,1.000000000000000, ,236212.570000000300000,720705.130000000820000
470,1440.000000000000000,1.000000000000000, ,236223.129999999890000,720705.070000000300000
471,1441.000000000000000,1.000000000000000, ,236233.959999999960000,720705.150000000370000
472,1442.000000000000000,1.000000000000000, ,236244.839999999850000,720705.179999999700000
473,1443.000000000000000,2.000000000000000, ,236255.730000000450000,720705.509999999780000
474,1444.000000000000000,2.000000000000000, ,236266.870000000110000,720705.529999999330000
475,1445.000000000000000,2.000000000000000, ,236277.419999999930000,720705.609999999400000
476,1446.000000000000000,2.000000000000000, ,236287.790000000040000,720705.730000000450000
477,1447.000000000000000,2.000000000000000, ,236298.900000000370000,720705.730000000450000
478,1448.000000000000000,3.000000000000000, ,236309.129999999890000,720705.839999999850000
479,1449.000000000000000,3.000000000000000, ,236319.469999999740000,720706.060000000520000
480,1450.000000000000000,2.000000000000000, ,236331.089999999850000,720705.960000000890000
481,1451.000000000000000,2.000000000000000, ,236343.110000000340000,720705.900000000370000
482,1452.000000000000000,2.000000000000000, ,236353.709999999960000,720705.830000000070000
483,1453.000000000000000,2.000000000000000, ,236364.250000000000000,720705.880000000820000
484,1454.000000000000000,2.000000000000000, ,236374.700000000190000,720706.210000000890000
485,1455.000000000000000,2.000000000000000, ,236384.080000000070000,720706.269999999550000
486,1456.000000000000000,1.000000000000000, ,236386.370000000110000,720681.720000000670000
487,1457.000000000000000,1.000000000000000, ,236375.150000000370000,720683.039999999110000
488,1458.000000000000000,1.000000000000000, ,236365.230000000450000,720682.769999999550000
489,1459.000000000000000,1.000000000000000, ,236353.610000000340000,720683.009999999780000
490,1460.000000000000000,1.000000000000000, ,236343.440000000410000,720682.689999999480000
491,1461.000000000000000,1.000000000000000, ,236332.669999999930000,720682.779999999330000
492,1462.000000000000000,2.000000000000000, ,236320.309999999590000,720682.949999999250000
493,1463.000000000000000,2.000000000000000, ,236309.530000000260000,720682.839999999850000
494,1464.000000000000000,2.000000000000000, ,236298.629999999890000,720682.580000000070000
495,1465.000000000000000,2.000000000000000, ,236287.969999999740000,720682.650000000370000
496,1466.000000000000000,1.000000000000000, ,236276.969999999740000,720682.849999999630000
497,1467.000000000000000,1.000000000000000, ,236268.719999999740000,720682.519999999550000
498,1468.000000000000000,1.000000000000000, ,236258.639999999660000,720681.820000000300000
499,1469.000000000000000,1.000000000000000, ,236246.629999999890000,720680.009999999780000
500,1470.000000000000000,1.000000000000000, ,236236.099999999630000,720680.539999999110000
501,1471.000000000000000,1.000000000000000, ,236225.320000000300000,720680.330000000070000
502,1472.000000000000000,1.000000000000000, ,236213.990000000220000,720680.439999999480000
503,1473.000000000000000,1.000000000000000, ,236204.750000000000000,720680.880000000820000
504,1474.000000000000000,0.000000000000000, ,236193.400000000370000,720680.470000000670000
505,1475.000000000000000,1.000000000000000, ,236183.120000000110000,720680.289999999110000
506,1476.000000000000000,1.000000000000000, ,236172.120000000110000,720680.730000000450000
507,1477.000000000000000,1.000000000000000, ,236161.780000000260000,720680.619999999180000
508,1478.000000000000000,1.000000000000000, ,236150.360000000340000,720680.029999999330000
509,1479.000000000000000,1.000000000000000, ,236138.429999999700000,720680.240000000220000
